,language,question_id,question_name,question_text,instruction,question_type,question_category,option_id,question_choice
2,english,PQ_202864,Do you have access to a car?,Do you have access to a car?,,1,2,2900381.0,I own a car/cars
3,english,PQ_202864,Do you have access to a car?,Do you have access to a car?,,1,2,2900382.0,I have access to a car/cars
4,english,PQ_202864,Do you have access to a car?,Do you have access to a car?,,1,2,2900383.0,I lease/ have a company car
6,english,PQ_202864,Do you have access to a car?,Do you have access to a car?,,1,2,2900385.0,Prefer not to say
7,english,PQ_202865,Are you the primary decision maker in your household for automotive-related purchases?,Are you the primary decision maker in your household for automotive-related purchases?,,1,2,2900386.0,Yes
8,english,PQ_202865,Are you the primary decision maker in your household for automotive-related purchases?,Are you the primary decision maker in your household for automotive-related purchases?,,1,2,2900387.0,I contribute equally in automotive decisions
9,english,PQ_202865,Are you the primary decision maker in your household for automotive-related purchases?,Are you the primary decision maker in your household for automotive-related purchases?,,1,2,2900388.0,No
10,english,PQ_202865,Are you the primary decision maker in your household for automotive-related purchases?,Are you the primary decision maker in your household for automotive-related purchases?,,1,2,2900389.0,Prefer not to say
114,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900452.0,I don't own/lease a car
115,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900453.0,Micro/City Car (e.g. Smart Fortwo)
116,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900454.0,Sub Compact (e.g. Toyota Yaris)
117,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900455.0,Compact Sedan/Stationwagon/Hatch (e.g. VW Golf)
118,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900456.0,Mid Size (e.g. Mazda 6)
119,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,3819646.0,Premium (REDUNDANT)
120,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900457.0,Luxury/Prestige (e.g. BMW/Mercedes)
121,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900459.0,Sports/Performance Car (e.g. Audi TT)
122,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900460.0,MPV/Minivan (e.g. Dodge Caravan)
123,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900461.0,SUV/Cross Over/4x4 (e.g. Honda CR-V)
124,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900462.0,Pick up (e.g. Ford F-150)
125,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900458.0,Hybrid/Electric/Biogas (e.g. Toyota Prius)
126,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900463.0,Van (e.g. Ford E-Series)
127,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900464.0,RV/Motor Home or Camper Van
128,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900465.0,Other
129,english,PQ_202867,How would you describe the car(s) you own/lease?,How would you describe the car(s) you own/lease?,,1,2,2900466.0,Prefer not to say
130,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900468.0,Pre-1980s
131,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900469.0,1980s
132,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900470.0,1990
133,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900471.0,1991
134,english,PQ_202868,What year was your main car (owned or leased) manufactured?,What year was your main car (owned or leased) manufactured?,,1,2,2900472.0,1992
